CV-structure	X_%PULT_Ty	B_%PULT_Ty	B_%APULT_Ty	C_%PULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%PULT_Ty	P_%PULT_Ty	R_%PULT_Ty	S_%PULT_Ty	S_%APULT_Ty	S_%PAPULT_Ty	V_%ULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	X_nPULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nPULT_Ty	P_nPULT_Ty	R_nPULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	S_nPAPULT_Ty	V_nULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty
CVCCVCVCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA
CVCCVCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	66.6666666666667	33.3333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	2	1	NA
CVCCVCVCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
CVCCVCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	63.6363636363636	36.3636363636364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	7	4	NA
CVCCVCVCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCCVCVCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCCVCVV	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	1	NA	7	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	33	NA	NA
CVCCVCVVCCCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVCCVCVVCCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	21	NA	NA
CVCCVCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA
CVCCVCVVCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	90.2439024390244	4.8780487804878	4.8780487804878	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	37	2	2
CVCCVCVVCVCCV	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA
CVCCVCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	59.2592592592593	40.7407407407407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	16	11	NA
CVCCVCVVCVV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
CVCCVCVVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
CVCCVCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	1	NA	NA
CVCCVCVVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
CVCCVV	NA	100	NA	100	NA	85.7142857142857	14.2857142857143	NA	NA	100	NA	NA	100	NA	NA	1.5625	98.4375	NA	NA	NA	3	NA	1	NA	12	2	NA	NA	1	NA	NA	87	NA	NA	1	63	NA	NA
CVCCVVCC	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVCCVVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
CVCCVVCCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	88.75	11.25	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	31	NA	NA	NA	71	9	NA
CVCCVVCCVCCV	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	53.3333333333333	46.6666666666667	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	8	7	NA
CVCCVVCCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCCVVCCVCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	16.6666666666667	80	3.33333333333333	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	7	NA	NA	NA	5	24	1
CVCCVVCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
CVCCVVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA
CVCCVVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA
CVCCVVCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA
CVCCVVCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCCVVCCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCCVVCV	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	90.2173913043478	9.78260869565217	NA	NA	82.5	17.5	NA	1	NA	NA	NA	NA	38	NA	NA	NA	NA	NA	NA	83	9	NA	NA	132	28	NA
CVCCVVCVCCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	75	25	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	12	4	NA
CVCCVVCVCCVCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA
CVCCVVCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCCVVCVCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	32.5581395348837	66.2790697674419	1.16279069767442	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	28	57	1
CVCCVVCVCVCCV	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
CVCCVVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA
CVCCVVCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCCVVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	3	NA	NA
CVCCVVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	5	NA	NA
CVCCVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	5	NA	NA
CVCCVVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	1
CVCCVVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
CVCV	100	100	NA	100	NA	100	NA	100	NA	100	100	NA	100	NA	NA	NA	100	NA	NA	2	16	NA	4	NA	95	NA	2	NA	5	4	NA	334	NA	NA	NA	148	NA	NA
CVCVCCCV	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	1	NA	NA	24	NA	NA	NA	12	NA	NA
CVCVCCCVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA
CVCVCCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	25	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	3	NA	NA
CVCVCCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.6666666666667	33.3333333333333	NA	NA	69.2307692307692	30.7692307692308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	NA	NA	9	4	NA
CVCVCCCVCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCVCCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	40	40	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	2	1
CVCVCCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
CVCVCCCVV	NA	100	NA	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	2	NA	NA	4	NA	NA	NA	1	NA	NA
CVCVCCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	5	NA	NA
CVCVCCCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCVCCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	85.7142857142857	14.2857142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	6	1	NA
CVCVCCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCVCCV	NA	100	NA	100	NA	91.8181818181818	8.18181818181818	NA	NA	NA	100	NA	97.4248927038627	2.57510729613734	NA	NA	96.8992248062015	3.10077519379845	NA	NA	4	NA	2	NA	101	9	NA	NA	NA	3	NA	227	6	NA	NA	375	12	NA
CVCVCCVCCCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	50	50	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	1	NA
CVCVCCVCCV	NA	100	NA	100	NA	76.9230769230769	23.0769230769231	NA	NA	NA	100	NA	100	NA	NA	NA	76.2886597938144	23.7113402061856	NA	NA	3	NA	1	NA	10	3	NA	NA	NA	1	NA	26	NA	NA	NA	74	23	NA
CVCVCCVCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
CVCVCCVCCVCCVCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVCVCCVCCVCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	3.84615384615385	92.3076923076923	3.84615384615385	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	3	NA	NA	NA	1	24	1
CVCVCCVCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
CVCVCCVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCVCCVCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
CVCVCCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCVCCVCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
CVCVCCVCV	100	50	50	NA	NA	27.0833333333333	72.9166666666667	NA	NA	NA	NA	NA	71.9101123595506	28.0898876404494	NA	NA	47.3684210526316	52.6315789473684	NA	2	1	1	NA	NA	13	35	NA	NA	NA	NA	NA	64	25	NA	NA	126	140	NA
CVCVCCVCVCCV	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	94.7368421052632	5.26315789473684	NA	NA	4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	6	NA	NA	NA	18	1	NA
CVCVCCVCVCCVCCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA
CVCVCCVCVCCVCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	42.8571428571429	57.1428571428571	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	3	4	NA
CVCVCCVCVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCVCCVCVCV	100	NA	NA	NA	NA	63.6363636363636	36.3636363636364	NA	NA	NA	NA	NA	100	NA	NA	NA	45.2054794520548	50.6849315068493	4.10958904109589	2	NA	NA	NA	NA	7	4	NA	NA	NA	NA	NA	6	NA	NA	NA	33	37	3
CVCVCCVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA
CVCVCCVCVV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	6	NA	NA
CVCVCCVCVVCCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVCVCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
CVCVCCVV	NA	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	2	NA	NA	NA	1	NA	1	NA	NA	NA	NA	27	NA	NA	NA	19	NA	NA
CVCVCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	12	NA	NA
CVCVCCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
CVCVCCVVCV	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	84.9056603773585	15.0943396226415	NA	NA	1	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	45	8	NA
CVCVCCVVCVCCVCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVCVCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.69230769230769	92.3076923076923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12	NA
CVCVCCVVV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA
CVCVCCVVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCVCV	100	88.8888888888889	11.1111111111111	100	NA	65.9574468085106	34.0425531914894	100	NA	100	NA	NA	71.105527638191	28.894472361809	NA	NA	79.296066252588	20.703933747412	NA	2	8	1	1	NA	186	96	1	NA	1	NA	NA	283	115	NA	NA	383	100	NA
CVCVCVCC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA
CVCVCVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	80	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	4	1	NA
CVCVCVCCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCVCVCCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
CVCVCVCCV	NA	100	NA	100	NA	82.3529411764706	17.6470588235294	NA	NA	NA	NA	NA	93.8271604938272	6.17283950617284	NA	NA	90.7975460122699	8.58895705521472	0.613496932515337	NA	4	NA	1	NA	14	3	NA	NA	NA	NA	NA	76	5	NA	NA	148	14	1
CVCVCVCCVCCV	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	38.4615384615385	61.5384615384615	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	5	8	NA
CVCVCVCCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCVCVCCVCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	83.3333333333333	16.6666666666667	NA	NA	28.5714285714286	65.7142857142857	5.71428571428571	NA	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	5	1	NA	NA	10	23	2
CVCVCVCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA
CVCVCVCCVCVCV	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
CVCVCVCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
CVCVCVCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCVCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	3	NA	NA
CVCVCVCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
CVCVCVCCVVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCVCVCCVVCV	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	87.5	12.5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	14	2	NA
CVCVCVCV	100	NA	NA	NA	NA	80.9090909090909	19.0909090909091	NA	NA	NA	NA	NA	73.2876712328767	26.7123287671233	NA	NA	62.7403846153846	33.8942307692308	3.36538461538462	3	NA	NA	NA	NA	89	21	NA	NA	NA	NA	NA	107	39	NA	NA	261	141	14
CVCVCVCVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
CVCVCVCVCCV	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	10	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	14	NA	NA	NA	23	NA	NA
CVCVCVCVCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
CVCVCVCVCCVCV	NA	NA	NA	NA	NA	15.3846153846154	84.6153846153846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	2	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
