CV-structure	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk
VCCVVCVCVCCVV	0	100	0	0	1	0
VCCVVCVV	0	100	0	0	7	0
VCCVVV	0	70	30	0	21	9
VCCVVVCV	0	100	0	0	6	0
VCCVVVV	0	100	0	0	17	0
VCVCCCV	0	100	0	0	63	0
VCVCCCVV	0	100	0	0	55	0
VCVCCV	0	96.65327979	3.346720214	0	1444	50
VCVCCVCCV	0	100	0	0	7	0
VCVCCVCVCCV	0	100	0	0	2	0
VCVCCVV	0	100	0	0	204	0
VCVCV	0	66.06451613	33.93548387	0	2560	1315
VCVCVCCV	0	100	0	0	6	0
VCVCVCCVCCV	0	100	0	0	1	0
VCVCVCCVCV	0	100	0	0	1	0
VCVCVCCVV	0	100	0	0	1	0
VCVCVCV	0	100	0	0	4	0
VCVCVCVCCV	0	100	0	0	20	0
VCVCVV	0	100	0	0	161	0
VCVCVVCCV	0	100	0	0	1	0
VCVV	0	90.75342466	9.246575342	0	265	27
VCVVCCV	0	100	0	0	37	0
VCVVCCVCCV	0	100	0	0	4	0
VCVVCV	0	87.39130435	12.60869565	0	201	29
VVCC	0	100	0	0	14	0
VVCCCVCV	0	100	0	0	12	0
VVCCVCV	0	100	0	0	2	0
VVCV	0	0	100	0	0	15
VVCVCCV	0	100	0	0	70	0
VVCVCV	0	27.49244713	72.50755287	0	91	240
VVCVCVV	0	100	0	0	2	0
VVV	0	100	0	0	57	0
VVVCV	0	100	0	0	216	0
VVVCVCCV	0	100	0	0	1	0
