CV-structure	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty
CCVCVVCVCV	0	20	80	0	0	1	4	0
CCVCVVCVCVCCV	0	90	10	0	0	9	1	0
CCVCVVCVCVCV	0	63.63636364	27.27272727	9.090909091	0	7	3	1
CCVCVVCVCVVCV	0	100	0	0	0	2	0	0
CCVCVVCVVCV	0	100	0	0	0	2	0	0
CCVCVVCVVCVCV	0	100	0	0	0	1	0	0
CCVVCCCVCCVCVCCV	0	100	0	0	0	1	0	0
CCVVCCCVCCVCVV	0	100	0	0	0	1	0	0
CCVVCCCVCVCVCV	0	0	100	0	0	0	2	0
CCVVCCCVCVCVV	0	100	0	0	0	1	0	0
CCVVCCCVCVVCV	0	100	0	0	0	1	0	0
CCVVCCCVVCVCCVCV	0	100	0	0	0	1	0	0
CCVVCCCVVCVCVCV	0	0	100	0	0	0	2	0
CCVVCCVCCCVVCV	0	100	0	0	0	1	0	0
CCVVCCVCCVCCV	0	100	0	0	0	1	0	0
CCVVCCVCCVCCVCCV	0	0	100	0	0	0	1	0
CCVVCCVCCVCV	0	66.66666667	33.33333333	0	0	2	1	0
CCVVCCVCCVCVCCV	0	100	0	0	0	1	0	0
CCVVCCVCCVVCCV	0	100	0	0	0	1	0	0
CCVVCCVCCVVCV	0	85.71428571	14.28571429	0	0	6	1	0
CCVVCCVCVCCV	0	91.66666667	8.333333333	0	0	11	1	0
CCVVCCVCVCCVCCV	0	0	100	0	0	0	1	0
CCVVCCVCVCCVCV	0	0	100	0	0	0	1	0
CCVVCCVCVCV	0	70	25	5	0	14	5	1
CCVVCCVCVCVV	0	100	0	0	0	2	0	0
CCVVCCVCVCVVCV	0	100	0	0	0	1	0	0
CCVVCCVCVVCV	0	100	0	0	0	1	0	0
CCVVCVCCVCCV	0	100	0	0	0	2	0	0
CCVVCVCCVCCVVCV	0	0	0	100	0	0	0	1
CCVVCVCCVCV	0	20	80	0	0	1	4	0
CCVVCVCCVVCVCV	0	100	0	0	0	1	0	0
CCVVCVCVCCCVCV	0	0	100	0	0	0	1	0
CCVVCVCVCCV	0	100	0	0	0	4	0	0
CCVVCVCVCCVCCV	0	100	0	0	0	2	0	0
CCVVCVCVCCVCCVV	0	100	0	0	0	1	0	0
CCVVCVCVCCVCV	0	50	50	0	0	2	2	0
CCVVCVCVCCVVCV	0	100	0	0	0	1	0	0
CCVVCVCVCV	0	62.5	37.5	0	0	5	3	0
CCVVCVCVCVCCV	0	100	0	0	0	5	0	0
CCVVCVCVCVCV	0	100	0	0	0	7	0	0
CCVVCVCVCVV	0	100	0	0	0	3	0	0
CCVVCVCVVCV	0	100	0	0	0	2	0	0
CCVVCVVCVV	0	100	0	0	0	1	0	0
CCVVVCCVCCVCV	0	0	100	0	0	0	1	0
CCVVVCVVCVCCV	0	100	0	0	0	1	0	0
CVCCCCVCVCCVCV	0	0	100	0	0	0	2	0
