ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S5_pia_%_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk
cru	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
csa	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cta	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	11	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cto	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ctu	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dda	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	182	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dde	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	48	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ddi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	36	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ddo	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	277	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ddu	NA	NA	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dge	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dha	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dhi	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dja	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dka	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dmo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dra	0	100	0	50	50	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1152	0	21	21	76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dre	0	100	0	0	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2500	0	0	3	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dri	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	362	0	55	0	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dro	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	451	0	65	0	190	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
ffa	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	162	0	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffe	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	119	0	9	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffo	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	152	0	31	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fle	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
flo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fne	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fra	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fre	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fri	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fro	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fta	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fte	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gda	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gge	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1386	0	90	0	19	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
ggi	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	3015	0	826	0	459	0	27	0	2	0	NA	NA	NA	NA	NA	NA
ggo	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gha	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ghe	0	100	0	89.5424836601307	10.4575163398693	63.0952380952381	36.9047619047619	100	0	100	0	NA	NA	NA	NA	NA	NA	0	615	0	137	16	53	31	7	0	2	0	NA	NA	NA	NA	NA	NA
