ending	B_%PULT_Tk	B_%APULT_Tk	C_%PULT_Tk	C_%APULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	I_%APULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%PULT_Tk	NU_%APULT_Tk	P_%PULT_Tk	P_%APULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	S_%PAPULT_Tk	V_%ULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	X_%PULT_Tk	X_%APULT_Tk	B_nPULT_Tk	B_nAPULT_Tk	C_nPULT_Tk	C_nAPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	I_nAPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nPULT_Tk	NU_nAPULT_Tk	P_nPULT_Tk	P_nAPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	S_nPAPULT_Tk	V_nULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk	X_nPULT_Tk	X_nAPULT_Tk
edi	100	0	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.5249406175772	0.475059382422803	0	0	100	0	0	NA	NA	2	0	NA	NA	0	41	0	0	32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	838	4	0	0	204	0	0	NA	NA
edo	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	98.7341772151899	1.26582278481013	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	113	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	78	1	0	0	922	0	0	NA	NA
efa	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
efe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA
ega	NA	NA	NA	NA	0	97.5332068311195	2.46679316888046	0	85.7142857142857	14.2857142857143	0	100	NA	NA	NA	NA	NA	NA	NA	0	92.8730512249443	7.12694877505568	0	0	99.0546218487395	0.945378151260504	0	NA	NA	NA	NA	NA	NA	0	514	13	0	12	2	0	1	NA	NA	NA	NA	NA	NA	NA	0	417	32	0	0	943	9	0	NA	NA
ege	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	0	NA	NA	NA	NA	NA	NA
egi	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	121	0	0	0	2	0	0	NA	NA
ego	NA	NA	NA	NA	0	100	0	0	0	100	100	0	100	0	NA	NA	NA	NA	NA	0	100	0	0	0	99.1304347826087	0.869565217391304	0	NA	NA	NA	NA	NA	NA	0	95	0	0	0	2	3	0	1	0	NA	NA	NA	NA	NA	0	141	0	0	0	114	1	0	NA	NA
ejo	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eka	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	NA	NA	NA	NA	NA	NA
