ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
ifa	NA	66.6666666666667	33.3333333333333	NA	NA	2	1	NA
ife	NA	100	NA	NA	NA	2	NA	NA
ifi	NA	75	25	NA	NA	3	1	NA
ifo	NA	100	NA	NA	NA	8	NA	NA
iga	NA	70	30	NA	NA	21	9	NA
ige	6.25	62.5	31.25	NA	1	10	5	NA
igi	NA	86.9565217391304	13.0434782608696	NA	NA	20	3	NA
igo	NA	72.7272727272727	27.2727272727273	NA	NA	24	9	NA
ihi	NA	100	NA	NA	NA	1	NA	NA
ijo	NA	100	NA	NA	NA	1	NA	NA
ika	NA	NA	100	NA	NA	NA	10	NA
ike	25	25	50	NA	1	1	2	NA
iki	NA	50	50	NA	NA	1	1	NA
iko	NA	NA	100	NA	NA	NA	4	NA
ila	NA	70.873786407767	29.126213592233	NA	NA	73	30	NA
ile	0.165289256198347	10.9090909090909	88.9256198347107	NA	1	66	538	NA
ili	NA	9.82318271119843	90.1768172888016	NA	NA	50	459	NA
ilo	NA	33.3333333333333	66.6666666666667	NA	NA	14	28	NA
ima	NA	20.952380952381	79.0476190476191	NA	NA	22	83	NA
ime	3.84615384615385	38.4615384615385	57.6923076923077	NA	2	20	30	NA
imi	NA	14.4736842105263	85.5263157894737	NA	NA	11	65	NA
imo	NA	3.86473429951691	96.1352657004831	NA	NA	8	199	NA
ina	NA	92.6677067082683	7.33229329173167	NA	NA	594	47	NA
ine	0.245098039215686	74.7549019607843	25	NA	1	305	102	NA
ini	0.11001100110011	90.7590759075908	9.13091309130913	NA	1	825	83	NA
ino	NA	72.5631768953069	22.8339350180505	4.6028880866426	NA	804	253	51
inu	NA	100	NA	NA	NA	1	NA	NA
ipa	NA	57.1428571428571	42.8571428571429	NA	NA	4	3	NA
ipe	NA	50	50	NA	NA	5	5	NA
ipi	NA	30.7692307692308	69.2307692307692	NA	NA	4	9	NA
ipo	NA	31.25	68.75	NA	NA	5	11	NA
ira	NA	82.9268292682927	17.0731707317073	NA	NA	34	7	NA
ire	NA	99.4285714285714	0.571428571428571	NA	NA	348	2	NA
iri	NA	96.1538461538462	3.84615384615385	NA	NA	25	1	NA
iro	NA	84.6153846153846	15.3846153846154	NA	NA	33	6	NA
iru	100	NA	NA	NA	1	NA	NA	NA
isa	NA	100	NA	NA	NA	45	NA	NA
ise	2.27272727272727	97.7272727272727	NA	NA	1	43	NA	NA
isi	NA	54.954954954955	38.7387387387387	6.30630630630631	NA	61	43	7
iso	NA	97.4358974358974	2.56410256410256	NA	NA	38	1	NA
isu	NA	100	NA	NA	NA	2	NA	NA
ita	NA	76.5350877192982	23.4649122807018	NA	NA	349	107	NA
ite	0.291545189504373	81.9241982507289	17.7842565597668	NA	1	281	61	NA
iti	NA	72.7488151658768	27.2511848341232	NA	NA	307	115	NA
ito	NA	77.2908366533864	22.7091633466135	NA	NA	388	114	NA
iva	NA	100	NA	NA	NA	471	NA	NA
ive	NA	100	NA	NA	NA	222	NA	NA
ivi	NA	99.5934959349593	0.40650406504065	NA	NA	245	1	NA
ivo	NA	100	NA	NA	NA	343	NA	NA
ixo	NA	100	NA	NA	NA	1	NA	NA
iza	NA	100	NA	NA	NA	3	NA	NA
ize	NA	100	NA	NA	NA	1	NA	NA
