4lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
cent	0	82.8337874659401	17.1662125340599	0	0	304	63	0
cepp	0	100	0	0	0	5	0	0
cera	0	0	100	0	0	0	3	0
cerb	0	100	0	0	0	9	0	0
cerc	6.66666666666667	82.7586206896552	10.5747126436782	0	29	360	46	0
cere	0	100	0	0	0	8	0	0
ceri	0	100	0	0	0	21	0	0
cert	0	100	0	0	0	539	0	0
cerv	0	100	0	0	0	78	0	0
cesp	0	100	0	0	0	37	0	0
cess	28	40	32	0	7	10	8	0
cest	0	100	0	0	0	72	0	0
chia	5.23255813953488	82.703488372093	12.0639534883721	0	36	569	83	0
chic	0	100	0	0	0	14	0	0
chie	2.86396181384248	73.0310262529833	23.1503579952267	0.954653937947494	12	306	97	4
chil	0	40.4411764705882	59.5588235294118	0	0	55	81	0
chim	0	0	100	0	0	0	21	0
chin	47.6190476190476	38.0952380952381	14.2857142857143	0	10	8	3	0
chio	0	72.7272727272727	27.2727272727273	0	0	32	12	0
chir	0	100	0	0	0	5	0	0
chis	100	0	0	0	98	0	0	0
chit	0	100	0	0	0	11	0	0
chiu	0.483091787439614	85.024154589372	14.4927536231884	0	1	176	30	0
ciam	0	100	0	0	0	9	0	0
cias	20	80	0	0	17	68	0	0
ciba	0	0	100	0	0	0	4	0
cica	0	100	0	0	0	17	0	0
cicc	0	100	0	0	0	10	0	0
cicl	0	100	0	0	0	18	0	0
cico	0	100	0	0	0	16	0	0
ciec	0	100	0	0	0	7	0	0
ciel	0	100	0	0	0	253	0	0
cifr	0	100	0	0	0	25	0	0
cigl	0	100	0	0	0	13	0	0
cign	0	100	0	0	0	11	0	0
cili	0	100	0	0	0	51	0	0
cimi	0	100	0	0	0	7	0	0
cine	0	47.2727272727273	52.7272727272727	0	0	26	29	0
cing	2.77777777777778	88.8888888888889	8.33333333333333	0	1	32	3	0
cinq	3.6231884057971	96.3768115942029	0	0	5	133	0	0
cint	0	100	0	0	0	11	0	0
cioc	0	100	0	0	0	45	0	0
ciot	0	0	100	0	0	0	21	0
cipo	0	100	0	0	0	12	0	0
cipr	0	100	0	0	0	9	0	0
circ	0	83.9590443686007	14.6757679180887	1.36518771331058	0	246	43	4
cita	25	50	25	0	2	4	2	0
citt	92.0096852300242	7.99031476997579	0	0	380	33	0	0
ciuf	0	100	0	0	0	21	0	0
cive	0	100	0	0	0	5	0	0
civi	67.1875	31.25	1.5625	0	43	20	1	0
clac	0	100	0	0	0	3	0	0
clan	0	100	0	0	0	23	0	0
clas	0	84.7328244274809	15.2671755725191	0	0	111	20	0
clie	0	100	0	0	0	37	0	0
clim	0	100	0	0	0	35	0	0
clor	0	100	0	0	0	1	0	0
cobr	0	100	0	0	0	1	0	0
cocc	10.2803738317757	89.7196261682243	0	0	11	96	0	0
coda	100	0	0	0	1	0	0	0
codi	0	12.5	87.5	0	0	2	14	0
cofa	0	100	0	0	0	2	0	0
cogl	0	29.5454545454545	70.4545454545455	0	0	13	31	0
cogn	0	100	0	0	0	10	0	0
coin	0	40	60	0	0	2	3	0
cola	0	100	0	0	0	28	0	0
coll	0.946372239747634	90.2208201892744	6.62460567823344	2.20820189274448	3	286	21	7
colm	0	100	0	0	0	14	0	0
colo	5.39419087136929	92.1161825726141	2.4896265560166	0	26	444	12	0
colp	3.89105058365759	86.3813229571984	9.72762645914397	0	10	222	25	0
colt	0	92.6829268292683	7.31707317073171	0	0	76	6	0
colu	0	100	0	0	0	26	0	0
coma	1.63934426229508	95.0819672131148	3.27868852459016	0	1	58	2	0
comb	6.25	72.9166666666667	20.8333333333333	0	6	70	20	0
come	0	100	0	0	0	9	0	0
comi	28.5285285285285	54.3543543543543	17.1171171171171	0	95	181	57	0
comm	5.26315789473684	87.9699248120301	6.76691729323308	0	7	117	9	0
como	13.0434782608696	17.3913043478261	69.5652173913043	0	6	8	32	0
comp	2.46389124893798	85.3865760407816	11.7247238742566	0.424808836023789	29	1005	138	5
comu	6.30630630630631	86.4864864864865	3.6036036036036	3.6036036036036	14	192	8	8
conc	1.55440414507772	89.1191709844559	9.32642487046632	0	3	172	18	0
cond	0.847457627118644	94.0677966101695	5.08474576271187	0	1	111	6	0
conf	5.4726368159204	84.5771144278607	9.95024875621891	0	11	170	20	0
cong	0	95.2380952380952	4.76190476190476	0	0	20	1	0
coni	0	92.3076923076923	6.92307692307692	0.769230769230769	0	120	9	1
cono	0.578034682080925	70.5202312138728	28.9017341040462	0	2	244	100	0
conq	3.27868852459016	85.2459016393443	11.4754098360656	0	2	52	7	0
cons	4.81586402266289	85.2691218130312	9.34844192634561	0.56657223796034	17	301	33	2
cont	3.86266094420601	92.618025751073	2.91845493562232	0.600858369098712	45	1079	34	7
conv	5.8252427184466	70.873786407767	23.3009708737864	0	6	73	24	0
cope	0	100	0	0	0	87	0	0
copi	0	96.6666666666667	3.33333333333333	0	0	29	1	0
copp	0	100	0	0	0	62	0	0
copr	6.77966101694915	83.0508474576271	10.1694915254237	0	4	49	6	0
cora	0	97.8260869565217	2.17391304347826	0	0	135	3	0
cord	0	100	0	0	0	90	0	0
cori	9.09090909090909	27.2727272727273	63.6363636363636	0	1	3	7	0
corn	0	100	0	0	0	23	0	0
coro	0	100	0	0	0	40	0	0
corp	0	100	0	0	0	172	0	0
corr	0	75	25	0	0	366	122	0
cors	0	100	0	0	0	170	0	0
cort	0	100	0	0	0	128	0	0
corv	0	100	0	0	0	43	0	0
cosa	0	100	0	0	0	21	0	0
cosc	0	100	0	0	0	6	0	0
cosi	0	100	0	0	0	15	0	0
cosm	0	0	100	0	0	0	10	0
cosp	0	63.6363636363636	36.3636363636364	0	0	7	4	0
cost	3.62976406533575	85.8439201451906	10.5263157894737	0	20	473	58	0
coto	0	100	0	0	0	9	0	0
cott	0	100	0	0	0	12	0	0
cova	20	80	0	0	1	4	0	0
cozz	0	100	0	0	0	1	0	0
cran	0	100	0	0	0	11	0	0
crat	0	100	0	0	0	6	0	0
crav	0	100	0	0	0	8	0	0
crea	1.08695652173913	94.5652173913043	4.34782608695652	0	1	87	4	0
cred	0.66006600660066	78.5478547854785	20.7920792079208	0	2	238	63	0
crem	0	100	0	0	0	9	0	0
crep	0	100	0	0	0	6	0	0
cres	1.25	55	43.75	0	2	88	70	0
cret	0	100	0	0	0	9	0	0
cric	0	100	0	0	0	7	0	0
crin	0	100	0	0	0	5	0	0
cris	0	100	0	0	0	52	0	0
croc	0	100	0	0	0	34	0	0
crol	42.8571428571429	57.1428571428571	0	0	3	4	0	0
cron	0	0	100	0	0	0	23	0
cros	0	100	0	0	0	33	0	0
cruc	0	100	0	0	0	10	0	0
crud	28	72	0	0	7	18	0	0
cucc	0	27.7227722772277	72.2772277227723	0	0	28	73	0
cuci	0.980392156862745	95.0980392156863	3.92156862745098	0	1	97	4	0
cuff	0	100	0	0	0	5	0	0
cugi	0	100	0	0	0	64	0	0
cull	0	100	0	0	0	17	0	0
cult	0	100	0	0	0	43	0	0
cumu	0	0	100	0	0	0	5	0
cuoc	0	69.2307692307692	30.7692307692308	0	0	36	16	0
cuoi	0	100	0	0	0	7	0	0
cuor	0	100	0	0	0	161	0	0
cura	0	83.3333333333333	16.6666666666667	0	0	20	4	0
curi	44	56	0	0	33	42	0	0
curv	0	100	0	0	0	14	0	0
cusc	0	100	0	0	0	15	0	0
cust	0	100	0	0	0	29	0	0
dado	0	100	0	0	0	4	0	0
dain	0	66.6666666666667	33.3333333333333	0	0	4	2	0
dami	0	100	0	0	0	4	0	0
dann	1.88679245283019	94.3396226415094	3.77358490566038	0	1	50	2	0
danz	2.7027027027027	81.0810810810811	16.2162162162162	0	1	30	6	0
dapp	0	100	0	0	0	40	0	0
dare	0.328947368421053	75	23.6842105263158	0.986842105263158	1	228	72	3
dava	0	100	0	0	0	195	0	0
davv	0	100	0	0	0	202	0	0
debi	0	31.25	68.75	0	0	5	11	0
debo	0	20.5882352941176	79.4117647058823	0	0	7	27	0
deca	0	0	100	0	0	0	19	0
dece	0	100	0	0	0	7	0	0
deci	0.386100386100386	77.2200772200772	22.3938223938224	0	1	200	58	0
deco	11.5384615384615	84.6153846153846	3.84615384615385	0	3	22	1	0
dedi	2.38095238095238	73.8095238095238	19.047619047619	4.76190476190476	1	31	8	2
defi	2.08333333333333	93.75	4.16666666666667	0	1	45	2	0
defu	0	100	0	0	0	7	0	0
degn	0	100	0	0	0	15	0	0
