CV-structure	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk
CVCVCVCCVVV	0	100	0	0	0	4	0	0
CVCVCVCVCCCV	0	92.85714286	7.142857143	0	0	26	2	0
CVCVCVCVCCCVV	0	100	0	0	0	20	0	0
CVCVCVCVCCV	0	96.52777778	3.472222222	0	0	2641	95	0
CVCVCVCVCCVV	0	100	0	0	0	46	0	0
CVCVCVCVCV	0	73.60213543	24.90868221	1.489182355	0	5239	1773	106
CVCVCVCVCVV	0	100	0	0	0	281	0	0
CVCVCVCVV	0.223463687	96.98324022	2.793296089	0	2	868	25	0
CVCVCVCVVCCV	0	100	0	0	0	5	0	0
CVCVCVCVVCV	0	99.86327591	0.136724091	0	0	3652	5	0
CVCVCVCVVCVV	0	100	0	0	0	4	0	0
CVCVCVVCCV	0	95.08196721	4.918032787	0	0	58	3	0
CVCVCVVCCVCCV	0	100	0	0	0	21	0	0
CVCVCVVCCVCV	0	96.12403101	3.875968992	0	0	124	5	0
CVCVCVVCCVVCCV	0	100	0	0	0	2	0	0
CVCVCVVCV	0	88.72180451	9.77443609	1.503759398	0	236	26	4
CVCVCVVCVCCV	0	74.66666667	25.33333333	0	0	56	19	0
CVCVCVVCVCV	0	74.90636704	25.09363296	0	0	200	67	0
CVCVCVVCVV	0	100	0	0	0	1	0	0
CVCVCVVCVVCV	0	100	0	0	0	5	0	0
CVCVCVVVCV	0	100	0	0	0	6	0	0
CVCVCVVVVCV	0	100	0	0	0	3	0	0
CVCVVCCCVCVCV	0	63.63636364	36.36363636	0	0	7	4	0
