CV-structure	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk
CVCVCCCVVCCV	0	100	0	0	0	11	0	0
CVCVCCCVVCV	0	93.33333333	6.666666667	0	0	84	6	0
CVCVCCVCCCV	0	86.51685393	13.48314607	0	0	77	12	0
CVCVCCVCCCVV	0	100	0	0	0	1	0	0
CVCVCCVCCV	0	92.00273411	7.997265892	0	0	5384	468	0
CVCVCCVCCVV	0	100	0	0	0	122	0	0
CVCVCCVCV	0.060300406	68.77535358	31.0437452	0.120600811	11	12546	5663	22
CVCVCCVCVCC	0	100	0	0	0	4	0	0
CVCVCCVCVV	0	100	0	0	0	1206	0	0
CVCVCCVV	0	100	0	0	0	905	0	0
CVCVCCVVCCV	0	100	0	0	0	403	0	0
CVCVCCVVCCVV	0	100	0	0	0	3	0	0
CVCVCCVVCV	0	95.89479296	4.105207037	0	0	5396	231	0
CVCVCCVVCVV	0	100	0	0	0	325	0	0
CVCVCCVVV	0	84.72222222	15.27777778	0	0	61	11	0
CVCVCCVVVV	0	100	0	0	0	24	0	0
CVCVCVCC	0	0	100	0	0	0	1	0
CVCVCVCCCV	0	99.03846154	0.961538462	0	0	103	1	0
CVCVCVCCCVV	0	100	0	0	0	16	0	0
CVCVCVCCV	0	91.35105608	8.648943918	0	0	10034	950	0
CVCVCVCCVCC	0	100	0	0	0	8	0	0
CVCVCVCCVV	0	100	0	0	0	947	0	0
CVCVCVCV	0.002804498	70.52472165	28.95644614	0.516027708	1	25147	10325	184
CVCVCVCVCC	0	100	0	0	0	1	0	0
CVCVCVCVV	0	100	0	0	0	1392	0	0
CVCVCVCVVV	0	100	0	0	0	3	0	0
CVCVCVV	0	92.33695652	7.663043478	0	0	1699	141	0
CVCVCVVCCCV	0	100	0	0	0	22	0	0
CVCVCVVCCV	0	100	0	0	0	448	0	0
CVCVCVVCV	0	99.8989899	0.101010101	0	0	6923	7	0
CVCVCVVCVV	0	100	0	0	0	15	0	0
CVCVCVVV	0	100	0	0	0	47	0	0
CVCVCVVVCVV	0	100	0	0	0	1	0	0
CVCVVCCCV	0	100	0	0	0	14	0	0
CVCVVCCCVCCV	0	100	0	0	0	4	0	0
CVCVVCCCVCV	0	97.65625	2.34375	0	0	125	3	0
CVCVVCCV	0	96.9924812	3.007518797	0	0	129	4	0
CVCVVCCVCCV	0	99.31506849	0.684931507	0	0	145	1	0
CVCVVCCVCV	0	58.5106383	41.4893617	0	0	220	156	0
CVCVVCCVCVV	0	100	0	0	0	56	0	0
CVCVVCCVV	0	100	0	0	0	18	0	0
CVCVVCCVVCCV	0	100	0	0	0	1	0	0
CVCVVCCVVCV	0	100	0	0	0	3	0	0
CVCVVCV	0	48.29545455	51.70454545	0	0	765	819	0
CVCVVCVCCCV	0	100	0	0	0	3	0	0
CVCVVCVCCV	0	98.25218477	1.747815231	0	0	787	14	0
CVCVVCVCCVV	0	100	0	0	0	2	0	0
CVCVVCVCV	0	83.93051031	15.9971046	0.072385089	0	2319	442	2
CVCVVCVCVV	0	100	0	0	0	79	0	0
CVCVVCVV	0	83.78378378	16.21621622	0	0	31	6	0
CVCVVCVVCCV	0	100	0	0	0	4	0	0
CVCVVCVVCV	0	100	0	0	0	1250	0	0
CVCVVV	0	100	0	0	0	2	0	0
CVCVVVCCV	0	100	0	0	0	8	0	0
CVCVVVCV	0	100	0	0	0	70	0	0
CVCVVVCVCV	0	0	100	0	0	0	1	0
CVCSCCVCV	0	0	100	0	0	0	1	0
CVCSCVCV	0	0	100	0	0	0	1	0
CVVCCCVCCV	0	93.33333333	6.666666667	0	0	28	2	0
CVVCCCVCCVCCV	0	100	0	0	0	5	0	0
CVVCCCVCCVCV	0	100	0	0	0	3	0	0
CVVCCCVCCVV	0	100	0	0	0	2	0	0
CVVCCCVCCVVCV	0	90	10	0	0	9	1	0
CVVCCCVCV	0	88.57142857	11.42857143	0	0	217	28	0
CVVCCCVCVCCV	0	100	0	0	0	33	0	0
CVVCCCVCVCCVV	0	100	0	0	0	6	0	0
CVVCCCVCVCV	0	92.30769231	7.692307692	0	0	24	2	0
CVVCCCVCVV	0	100	0	0	0	30	0	0
CVVCCCVCVVCV	0	100	0	0	0	20	0	0
CVVCCCVV	0	100	0	0	0	10	0	0
CVVCCCVVCCVCCV	0	100	0	0	0	3	0	0
CVVCCCVVCV	0	100	0	0	0	1	0	0
CVVCCVCCCVCCV	0	100	0	0	0	1	0	0
CVVCCVCCV	0	98.7654321	1.234567901	0	0	480	6	0
CVVCCVCCVCCV	0	92.68292683	7.317073171	0	0	38	3	0
CVVCCVCCVCV	0	14.04494382	85.95505618	0	0	25	153	0
CVVCCVCCVCVV	0	100	0	0	0	2	0	0
CVVCCVCCVV	0	100	0	0	0	7	0	0
CVVCCVCCVVCCV	0	100	0	0	0	5	0	0
CVVCCVCCVVCV	0	100	0	0	0	47	0	0
CVVCCVCV	0	72.76214834	27.23785166	0	0	569	213	0
CVVCCVCVCCCV	0	100	0	0	0	5	0	0
CVVCCVCVCCV	0	99.41656943	0.583430572	0	0	852	5	0
CVVCCVCVCCVV	0	100	0	0	0	36	0	0
CVVCCVCVCV	0	78.11408615	21.76949942	0.116414435	0	671	187	1
CVVCCVCVV	0	100	0	0	0	75	0	0
CVVCCVCVVCCV	0	100	0	0	0	2	0	0
CVVCCVCVVCV	0	100	0	0	0	138	0	0
CVVCCVCVVV	0	100	0	0	0	8	0	0
CVVCCVV	0	100	0	0	0	10	0	0
CVVCCVVCCV	0	100	0	0	0	36	0	0
CVVCCVVCCVCV	0	100	0	0	0	18	0	0
CVVCCVVCCVCVV	0	100	0	0	0	2	0	0
CVVCCVVCCVV	0	100	0	0	0	2	0	0
CVVCCVVCV	0	25.36443149	74.63556851	0	0	174	512	0
CVVCCVVCVCCV	0	100	0	0	0	3	0	0
CVVCCVVCVCCVV	0	100	0	0	0	7	0	0
CVVCCVVCVCV	0	37.5	62.5	0	0	3	5	0
CVVCCVVCVCVV	0	100	0	0	0	12	0	0
CVVCCVVV	0	100	0	0	0	2	0	0
CVVCCVVVCV	0	100	0	0	0	4	0	0
CVVCCAVCCVCCV	0	100	0	0	0	8	0	0
CVVCVCCCVCV	0	96.96969697	3.03030303	0	0	32	1	0
CVVCVCCCVV	0	100	0	0	0	7	0	0
CVVCVCCV	0.126582278	95.82278481	4.050632911	0	1	757	32	0
CVVCVCCVCCCV	0	100	0	0	0	1	0	0
CVVCVCCVCCV	0	98.69281046	1.307189542	0	0	151	2	0
CVVCVCCVCCVV	0	100	0	0	0	13	0	0
CVVCVCCVCV	0	75.41191381	24.46134347	0.126742712	0	595	193	1
CVVCVCCVCVV	0	100	0	0	0	2	0	0
CVVCVCCVV	0	100	0	0	0	88	0	0
CVVCVCCVVCCCV	0	100	0	0	0	1	0	0
CVVCVCCVVCCV	0	100	0	0	0	15	0	0
CVVCVCCVVCV	0	94.44444444	5.555555556	0	0	17	1	0
CVVCVCV	0	62.41345203	37.58654797	0	0	631	380	0
CVVCVCVCCCV	0	100	0	0	0	4	0	0
CVVCVCVCCV	0	94.60580913	5.394190871	0	0	684	39	0
CVVCVCVCCVV	0	100	0	0	0	9	0	0
