ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
nga	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	6	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
nge	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	6	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ngi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ngo	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	12	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
nna	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nne	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	11	12	NA	4	NA	NA	1	NA	NA	NA	NA	NA	NA
nni	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	6	9	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA
nno	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	12	25	NA	67	NA	NA	55	NA	7	NA	NA	NA	NA
nsa	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
nse	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	9	10	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA
nsi	100	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
nso	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nta	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	26	32	NA	4	NA	NA	1	NA	NA	NA	NA	NA	NA
nte	100	100	NA	100	NA	NA	100	NA	100	NA	100	NA	100	23	80	NA	110	NA	NA	62	NA	19	NA	2	NA	1
nti	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	30	96	NA	87	NA	NA	35	NA	2	NA	NA	NA	NA
nto	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	29	49	NA	33	NA	NA	30	NA	2	NA	NA	NA	NA
nza	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	6	18	NA	30	NA	NA	7	NA	NA	NA	NA	NA	NA
nze	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	4	12	NA	12	NA	NA	2	NA	NA	NA	NA	NA	NA
nzi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nzo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pla	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pli	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppa	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppe	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pra	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pre	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pri	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pro	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rba	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbe	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rca	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
