ending	B_%PULT_Tk	C_%PULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%ULT_Tk	NU_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	X_%PULT_Tk	B_nPULT_Tk	C_nPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nULT_Tk	NU_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	X_nPULT_Tk
dre	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	99.8796630565584	0.120336943441637	NA	NA	NA	NA	NA	0	14	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	0	2490	3	NA	NA	NA
dri	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	45	0	0	22	0	NA	NA	NA	NA	NA	NA	NA	0	365	0	NA	NA	NA
dro	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	320	0	0	17	0	NA	NA	NA	NA	NA	NA	NA	0	371	0	NA	NA	NA
eso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA
ffa	NA	NA	0	100	0	0	100	0	100	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	7	0	0	17	0	1	NA	NA	NA	NA	NA	NA	0	141	0	20	0	NA
ffe	100	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	2	NA	0	1	0	0	6	0	NA	NA	NA	NA	NA	NA	NA	0	127	0	NA	NA	NA
ffi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	36	0	0	9	0	NA	NA	NA	NA	NA	NA	NA	0	83	0	2	0	NA
ffo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	26	0	0	28	0	NA	NA	NA	NA	NA	NA	NA	0	126	0	3	0	NA
fle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
flo	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fne	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fra	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	135	0	13	0	NA
fre	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	147	0	291	0	NA
fri	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	NA
fro	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	12	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	0	1	0	15	0	NA
fta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	0	NA	NA	NA
fte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
gda	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
gga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	0	NA
gge	100	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	3	NA	0	8	0	0	17	0	NA	NA	NA	NA	NA	NA	NA	0	1179	0	290	0	NA
ggi	100	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	2482	NA	0	101	0	0	14	0	NA	NA	NA	NA	NA	NA	NA	0	1673	0	59	0	NA
ggo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	0	NA
gha	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ghe	NA	NA	0	100	0	0	89.1129032258064	10.8870967741935	NA	NA	NA	NA	NA	NA	NA	0	96.6832504145937	3.3167495854063	NA	NA	NA	NA	NA	0	10	0	0	221	27	NA	NA	NA	NA	NA	NA	NA	0	583	20	NA	NA	NA
ghi	NA	NA	0	100	0	0	90.6614785992218	9.33852140077821	NA	NA	NA	NA	NA	NA	NA	0	83.7183718371837	16.2816281628163	91.1764705882353	8.82352941176471	NA	NA	NA	0	176	0	0	233	24	NA	NA	NA	NA	NA	NA	NA	0	761	148	62	6	NA
gla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	NA	NA	NA
gle	NA	NA	0	100	0	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	8	0	NA	NA	NA
gli	NA	NA	0	100	0	0	100	0	NA	100	0	NA	NA	100	100	0	100	0	64.2553191489362	35.7446808510638	NA	NA	NA	0	55	0	0	209	0	NA	486	0	NA	NA	9002	170	0	1488	0	604	336	NA
glo	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	10	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA
gma	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	NA	NA	NA
gmi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	22	0	NA	NA	NA
gna	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	951	0	0	87	0	NA	NA	NA	NA	NA	NA	NA	0	1345	0	1211	0	NA
gne	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	4	0	0	19	0	NA	NA	NA	NA	NA	NA	NA	0	361	0	11	0	NA
gni	100	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	1	NA	0	403	0	0	3282	0	NA	NA	NA	NA	NA	NA	NA	0	1221	0	53	0	NA
gno	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	206	0	0	102	0	NA	NA	NA	NA	NA	NA	NA	0	4241	0	66	0	NA
gra	NA	NA	0	100	0	0	99	1	NA	NA	NA	NA	NA	NA	NA	0	100	0	59.0909090909091	40.9090909090909	NA	NA	NA	0	13	0	0	99	1	NA	NA	NA	NA	NA	NA	NA	0	22	0	13	9	NA
gre	NA	NA	0	100	0	0	94.5945945945946	5.40540540540541	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	12	0	0	35	2	NA	NA	NA	NA	NA	NA	NA	0	45	0	NA	NA	NA
gri	NA	NA	0	100	0	0	93.4782608695652	6.52173913043478	NA	NA	NA	NA	NA	NA	NA	0	95	5	NA	NA	NA	NA	NA	0	51	0	0	43	3	NA	NA	NA	NA	NA	NA	NA	0	19	1	NA	NA	NA
gro	NA	NA	0	100	0	0	96.551724137931	3.44827586206897	NA	NA	NA	NA	NA	NA	NA	0	91.6666666666667	8.33333333333333	100	0	NA	NA	NA	0	53	0	0	112	4	NA	NA	NA	NA	NA	NA	NA	0	22	2	2	0	NA
jka	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA
