ending	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S5_pia_%_Ty	S5_%APULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S8_%APULT_Ty	S9_%PULT_Ty	S10_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty	S8_nAPULT_Ty	S9_nPULT_Ty	S10_nPULT_Ty
ghe	NA	100	NA	72.22222222	27.77777778	61.53846154	38.46153846	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	13	5	8	5	3	NA	1	NA	NA	NA	NA	NA	NA	NA
ghi	NA	100	NA	79.54545455	20.45454545	57.89473684	42.10526316	60	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	35	9	11	8	3	2	NA	NA	NA	NA	NA	NA	NA	NA
gla	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gle	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gli	NA	100	NA	79.86577181	20.13422819	46.49681529	53.50318471	19.40298507	80.59701493	18.18181818	81.81818182	NA	NA	NA	NA	NA	NA	NA	38	NA	119	30	73	84	13	54	2	9	NA	NA	NA	NA	NA	NA
glo	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gma	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gmi	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gna	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	NA	55	NA	9	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
gne	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	23	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gni	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	43	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gno	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	54	NA	10	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
gra	NA	100	NA	88.88888889	11.11111111	33.33333333	66.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	8	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gre	NA	100	NA	50	50	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gri	NA	100	NA	66.66666667	33.33333333	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gro	NA	100	NA	83.33333333	16.66666667	75	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	5	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
jka	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
jno	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kko	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ktu	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kyo	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
