ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S7_%PAPULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S10_%APULT_Tk	S11_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S7_nPAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk	S10_nAPULT_Tk	S11_nPULT_Tk
ico	0	100	0	18.2894939240117	81.7105060759883	0	4.77683956574186	95.2231604342581	0	0.0508388408744281	99.9491611591256	0	0	100	0	0	100	0	16.6666666666667	83.3333333333333	NA	NA	NA	NA	0	280	0	1189	5312	0	198	3947	0	1	1966	0	0	296	0	0	153	0	1	5	NA	NA	NA	NA
icu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ida	0	100	0.338600451467269	15.8013544018059	83.8600451467269	0	62.7906976744186	37.2093023255814	0	42.8571428571429	57.1428571428571	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	813	3	140	743	0	54	32	0	6	8	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ide	0	100	0	50.4854368932039	49.5145631067961	0	51.9337016574586	48.0662983425414	0	2.85714285714286	97.1428571428571	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	292	0	364	357	0	94	87	0	1	34	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
idi	0	100	0	16.7641325536062	83.2358674463938	0	64.7798742138365	35.2201257861635	0	66.6666666666667	33.3333333333333	0	0	100	0	NA	NA	NA	0	100	NA	NA	NA	NA	0	132	0	86	427	0	103	56	0	16	8	0	0	11	0	NA	NA	NA	0	1	NA	NA	NA	NA
ido	0	100	0	4.43974630021142	95.5602536997886	0	18.4210526315789	81.5789473684211	0	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	384	0	42	904	0	14	62	0	0	6	0	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ifa	0	100	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	32	NA	NA	NA	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ife	NA	NA	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	7	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ifi	0	100	0	100	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	1	0	0	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ifo	0	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	121	0	1	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
