ending	B_%PULT_Ty	C_%PULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%ULT_Ty	NU_%PULT_Ty	P_%PULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	X_%PULT_Ty	B_nPULT_Ty	C_nPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nULT_Ty	NU_nPULT_Ty	P_nPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	B_nAPULT_Ty	X_nPULT_Ty
rli	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.8181818181818	18.1818181818182	83.9598997493734	16.0401002506266	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	2	335	64	NA
rlo	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.1176470588235	5.88235294117647	84.329563812601	15.670436187399	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	1	522	97	NA
rma	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	10	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	23	NA	19	NA	NA
rme	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	2	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	1	NA	NA
rmi	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	86.4864864864865	13.5135135135135	NA	NA	NA	NA	4	NA	NA	12	NA	1	NA	NA	NA	NA	NA	NA	NA	22	NA	416	65	NA
rmo	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	9	NA	NA
rna	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	16	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	14	NA	NA
rne	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	84.5201238390093	15.4798761609907	NA	NA	NA	NA	4	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	273	50	NA
rni	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	7	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	4	NA	NA
rno	100	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	10	NA	NA	31	NA	NA	20	NA	2	NA	NA	NA	NA	2	NA	NA	37	NA	3	NA	NA
